406 160
132 28
571 463
234 418 1807.93
237 420 1811.44
241 422 1814.95
244 425 1818.46
247 426 1821.97
250 428 1825.48
252 429 1828.99
256 431 1832.5
260 433 1836.01
263 434 1839.52
267 436 1843.03
270 437 1846.54
273 440 1850.05
278 440 1853.56
281 441 1857.08
286 442 1860.59
289 441 1864.1
294 442 1867.61
298 443 1871.12
300 442 1874.63
304 443 1878.14
308 443 1881.65
311 443 1885.16
314 443 1888.67
318 442 1892.18
323 443 1895.69
327 443 1899.2
331 443 1902.71
335 443 1906.22
339 442 1909.73
345 443 1913.24
350 443 1916.75
352 442 1920.27
357 442 1923.78
362 442 1927.29
368 442 1930.8
373 442 1934.31
378 442 1937.82
383 441 1941.33
387 441 1944.84
390 441 1948.35
395 441 1951.86
401 441 1955.37
404 441 1958.88
406 440 1962.39
411 439 1965.9
415 439 1969.41
419 439 1972.92
424 440 1976.43
427 439 1979.94
429 437 1983.45
432 435 1986.97
436 434 1990.48
440 432 1993.99
444 430 1997.5
447 429 2001.01
451 427 2004.52
453 424 2008.03
457 423 2011.54
461 420 2015.05
464 418 2018.56
468 416 2022.07
471 414 2025.58
475 411 2029.09
477 409 2032.6
480 407 2036.11
484 404 2039.62
486 401 2043.13
489 399 2046.64
491 396 2050.16
494 393 2053.67
498 389 2057.18
500 385 2060.69
504 381 2064.2
506 379 2067.71
508 377 2071.22
511 373 2074.73
514 370 2078.24
517 366 2081.75
519 363 2085.26
521 360 2088.77
524 357 2092.28
527 352 2095.79
530 349 2099.3
531 346 2102.81
535 340 2106.32
536 337 2109.83
538 334 2113.34
539 331 2116.86
542 326 2120.37
544 321 2123.88
544 317 2127.39
546 314 2130.9
548 307 2134.41
549 302 2137.92
549 301 2141.43
552 294 2144.94
553 290 2148.45
552 287 2151.96
553 282 2155.47
554 277 2158.98
555 275 2162.49
556 271 2166
556 267 2169.51
556 263 2173.02
557 258 2176.53
556 256 2180.05
557 253 2183.56
557 250 2187.07
558 246 2190.58
558 241 2194.09
558 237 2197.6
558 233 2201.11
558 228 2204.62
558 223 2208.13
557 220 2211.64
557 217 2215.15
556 211 2218.66
555 209 2222.17
555 204 2225.68
554 199 2229.19
554 196 2232.7
553 193 2236.21
553 188 2239.72
551 184 2243.23
550 180 2246.75
549 176 2250.26
548 172 2253.77
546 169 2257.28
545 164 2260.79
543 163 2264.3
541 159 2267.81
538 156 2271.32
536 152 2274.83
535 150 2278.34
533 146 2281.85
531 142 2285.36
529 138 2288.87
528 134 2292.38
525 128 2295.89
523 127 2299.4
522 125 2302.91
520 121 2306.42
519 117 2309.94
518 115 2313.45
516 113 2316.96
514 110 2320.47
512 107 2323.98
510 102 2327.49
508 99 2331
507 98 2334.51
504 95 2338.02
501 92 2341.53
499 91 2345.04
498 86 2348.55
495 84 2352.06
493 83 2355.57
490 81 2359.08
489 78 2362.59
487 76 2366.1
486 76 2369.61
482 74 2373.12
481 73 2376.64
478 71 2380.15
478 69 2383.66
475 66 2387.17
471 66 2390.68
468 65 2394.19
465 65 2397.7
461 62 2401.21
458 60 2404.72
455 60 2408.23
451 60 2411.74
448 62 2415.25
445 61 2418.76
442 59 2422.27
438 57 2425.78
435 55 2429.29
433 54 2432.8
431 55 2436.31
429 53 2439.83
427 51 2443.34
425 51 2446.85
423 49 2450.36
421 49 2453.87
419 48 2457.38
418 47 2460.89
415 47 2464.4
414 47 2467.91
415 44 2471.42
413 44 2474.93
412 44 2478.44
412 43 2481.95
410 45 2485.46
410 45 2488.97
409 45 2492.48
410 44 2495.99
409 44 2499.5
410 44 2503.01
409 46 2506.53
407 48 2510.04
406 49 2513.55
407 50 2517.06
405 51 2520.57
405 51 2524.08
404 52 2527.59
405 54 2531.1
405 56 2534.61
404 57 2538.12
404 58 2541.63
407 59 2545.14
405 59 2548.65
405 61 2552.16
407 61 2555.67
405 61 2559.18
403 60 2562.69
403 59 2566.2
402 58 2569.72
403 60 2573.23
404 61 2576.74
412 67 2580.25
413 65 2583.76
417 67 2587.27
416 67 2590.78
418 68 2594.29
421 70 2597.8
423 72 2601.31
425 72 2604.82
428 74 2608.33
430 75 2611.84
432 75 2615.35
436 78 2618.86
435 78 2622.37
438 80 2625.88
443 81 2629.39
442 82 2632.9
443 80 2636.42
440 81 2639.93
445 87 2643.44
455 87 2646.95
447 85 2650.46
452 86 2653.97
451 86 2657.48
451 86 2660.99
465 89 2664.5
463 89 2668.01
470 89 2671.52
462 86 2675.03
462 85 2678.54
462 84 2682.05
463 85 2685.56
464 85 2689.07
465 84 2692.58
466 83 2696.09
469 83 2699.6
470 84 2703.12
473 86 2706.63
474 91 2710.14
476 95 2713.65
476 96 2717.16
479 98 2720.67
479 100 2724.18
481 105 2727.69
484 106 2731.2
486 109 2734.71
488 109 2738.22
491 111 2741.73
500 110 2745.24
495 109 2748.75
507 113 2752.26
503 112 2755.77
502 111 2759.28
497 110 2762.79
498 110 2766.31
501 109 2769.82
502 109 2773.33
504 108 2776.84
505 108 2780.35
507 108 2783.86
510 107 2787.37
511 106 2790.88
512 106 2794.39
512 106 2797.9
513 107 2801.41
514 107 2804.92
515 108 2808.43
516 109 2811.94
516 110 2815.45
516 111 2818.96
515 112 2822.47
515 113 2825.98
514 114 2829.5
513 113 2833.01
511 116 2836.52
511 114 2840.03
510 121 2843.54
509 123 2847.05
508 125 2850.56
507 125 2854.07
507 128 2857.58
505 130 2861.09
504 133 2864.6
502 138 2868.11
502 142 2871.62
501 144 2875.13
501 145 2878.64
500 151 2882.15
500 156 2885.66
499 160 2889.17
499 162 2892.68
499 163 2896.2
499 164 2899.71
499 168 2903.22
499 170 2906.73
500 177 2910.24
500 179 2913.75
500 181 2917.26
500 182 2920.77
502 187 2924.28
502 190 2927.79
502 191 2931.3
502 193 2934.81
503 196 2938.32
504 198 2941.83
505 202 2945.34
506 206 2948.85
507 209 2952.36
508 212 2955.87
509 215 2959.39
510 220 2962.9
510 222 2966.41
511 224 2969.92
511 226 2973.43
511 229 2976.94
511 232 2980.45
511 235 2983.96
510 237 2987.47
510 239 2990.98
509 241 2994.49
509 243 2998
508 247 3001.51
507 249 3005.02
506 253 3008.53
505 254 3012.04
505 255 3015.55
504 257 3019.06
503 258 3022.57
500 261 3026.09
498 264 3029.6
496 267 3033.11
493 270 3036.62
491 273 3040.13
488 277 3043.64
486 279 3047.15
483 281 3050.66
478 291 3054.17
477 293 3057.68
476 298 3061.19
475 299 3064.7
473 301 3068.21
473 303 3071.72
473 304 3075.23
473 309 3078.74
474 312 3082.25
474 312 3085.76
473 314 3089.27
474 313 3092.79
474 316 3096.3
475 318 3099.81
471 322 3103.32
472 322 3106.83
472 320 3110.34
472 319 3113.85
471 320 3117.36
470 320 3120.87
466 323 3124.38
466 325 3127.89
468 325 3131.4
463 326 3134.91
459 327 3138.42
455 328 3141.93
452 328 3145.44
452 328 3148.95
448 330 3152.46
447 331 3155.98
444 331 3159.49
444 332 3163
444 332 3166.51
440 336 3170.02
440 337 3173.53
438 338 3177.04
438 339 3180.55
436 341 3184.06
435 342 3187.57
433 347 3191.08
432 348 3194.59
430 353 3198.1
431 354 3201.61
429 358 3205.12
427 361 3208.63
426 366 3212.14
425 372 3215.65
425 373 3219.17
427 374 3222.68
426 377 3226.19
426 380 3229.7
427 384 3233.21
428 390 3236.72
428 393 3240.23
429 393 3243.74
429 400 3247.25
430 401 3250.76
430 401 3254.27
431 399 3257.78
426 379 3261.29
431 392 3264.8
434 397 3268.31
437 412 3271.82
438 414 3275.33
439 414 3278.84
439 414 3282.35
441 416 3285.87
441 418 3289.38
442 419 3292.89
